read,title,author,tags,rating,date
0,les six clés de la confiance en soi,branden,psychologie positive,,
0,louis XIV,petitfils,histoire,,
0,pleins de vie,fante,roman,,
1,jonathan livingston le goéland,bach,roman,,
1,nos étoiles contraires,green,roman,,
1,everything is perfect when you're a liar,oxford,biographie,,
0,le temps des capétiens,gauvard,histoire,,
1,liar's poker,lewis,finance,,
1,goldman sachs,endlich,finance,,
1,my life as a quant,derman,finance,,
1,when genius failed,lowenstein,finance,,
1,fault lines,rajan,finance,,
1,how i became a quant,schachter,finance,,
0,the charisma myth,cabane,self-help,,
1,linchpin,godin,psychologie,,
0,100 idées pour une france numérique,bretones,essai,,
1,elon musk,vance,biographie,,
1,moi zlatan ibrahimovic,ibrahimovic,biographie,,
1,je suis à l'est !,schovanec,biographie,,
1,the big picture,horton,sport,,
1,talent is overrated,colvin,science,,
0,malt whisky,jackson,cuisine,,
1,flow,csikszentmihalyi,psychologie,,
0,the power of positive thinking,peale,psychologie positive,,
1,the happiness advantage,achor,psychologie positive,,
1,100 secrets of happy people,niven,psyschologie positive,,
0,influence and manipulation,cialdini,psychologie,,
1,paris manuel de survie,cassely,guide,,
1,apprendre à faire la sieste,mullens,science,,
1,français et américains,baudry,sociologie,,
0,the unwritten laws of engineering,king,work,,
0,leçons de dégustation vins,delmas,cuisine,,
0,the unwritten laws of business,king,work,,
1,choose the life you want,ben-shahar,psychoologie positive,,
1,le bro code,stinson,fun,,
0,unlimited power,robbins,psychoologie positive,,
0,awaken the giant within,robbins,psychoologie positive,,
0,advanced c++,coplen,"informatique, programmation",,
0,c++ coding standard,sutter,"informatique, programmation",,
0,exceptional c++,sutter,"informatique, programmation",,
0,essential c++,lippman,"informatique, programmation",,
1,effective c++,meyers,"informatique, programmation",,
0,more effective c++,meyers,"informatique, programmation",,
0,effective stl,meyers,"informatique, programmation",,
1,C++ primer,lippman,"informatique, programmation",,
0,le langage c++,stroustrup,"informatique, programmation",,
0,think bayes,downey,maths,,
0,the pragmatic programmer,hunt,"informatique, work",,
0,programming collective intelligence,segaran,informatique,,
1,the hard thing about hard things,horowitz,startup,,
0,hong kong le routard,le routard,voyages,,
1,dans la tête des mecs,jooks,fun,,
1,taipei,tao lin,roman,,
1,fondation,asimov,sci-fi,,
1,le guide du voyageur galactique,adams,sci-fi,,
0,le dernier restaurant avant la fin du monde,adams,sci-fi,,
0,"la vie, l'univers et le reste",adams,sci-fi,,
0,"salut, et encore merci pour le poisson",adams,sci-fi,,
0,globalement inoffensive,adams,sci-fi,,
1,cryptonomicon le code enigma,stephenson,sci-fi,,
0,propos sur le bonheur,alain,philosophie,,
0,pensées,pascal,philosophie,,
0,essais,montaigne,philosophie,,
0,voyage au centre de la terre,verne,roman,,
1,zadig,voltaire,philosophie,,
0,de l'amour,stendhal,roman,,
1,lettres persanes,montesquieu,philosophie,,
0,la bible,,philosophie,,
0,insomnie,king,roman,,
0,revival,king,roman,,
0,nous les vivants,rand,roman,,
1,the alchemist,coelho,psychologie positive,,
1,the phoenix project,kim,informatique,,
1,mastering the VC game,bussgang,startup,,
1,disrupted,lyons,sociologie,,
1,house of cards,dobbs,roman,,
1,the lean startup,ries,startup,,
1,ta deuxième vie commence quand tu comprends que tu n'en as qu'une,giordano,psychologie positive,,
1,web scalability for startup engineers,ejsmont,"informatique, work",,
1,rework,fried,"startup, work",,
0,pyhon for data analysis,mcKinney,"informatique, programmation",,
1,learning spark,karau,informatique,,
0,agile data science 2.0,jurney,informatique,,
0,va et poste une sentinelle,lee,roman,,
0,terre et fondation,asimov,sci-fi,,
0,fondation foudroyée,asimov,sci-fi,,
0,seconde fondation,asimov,sci-fi,,
0,fondation et empire,asimov,sci-fi,,
0,comment voyager avec un saumon,eco,roman,,
0,underground,murakami,sociologie,,
0,salem,king,roman,,
0,americana,delillo,roman,,
0,le dahlia noir,ellroy,roman,,
0,les quatre accords toltèques,ruiz,psychologie positive,,
0,inconnu à cette adresse,taylor,roman,,
0,le trône de fer,martin,fantasy,,
0,histoire de france,carpenier,histoire,,
0,american psycho,ellis,roman,,
0,éloge des femmes mûres,vizinczey,roman,,
0,le dernier gardien d'ellis island,josse,roman,,
0,2084,sansal,roman,,
0,le ventre de paris,zola,roman,,
0,la communauté de l'anneau,tolkien,fantasy,,
0,frankenstein,shelley,sci-fi,,
0,le maître du haut chateau,dick,sci-fi,,
0,les deux tours,tolkien,fantasy,,
0,le retour du roi,tolkien,fantasy,,
1,la curée ,zola,roman,,
1,vingt-quatre heures de la vie d'une femme,zweig,roman,,
1,rapport sur moi,bouillier,roman,,
1,cap canaveral,bouillier,roman,,
1,l'invité mystère,bouillier,roman,,
1,fuck america,Hilsenrath,roman,,
1,orgasme à moscou,Hilsenrath,roman,,
1,le nazi et le barbier,hilsenrath,roman,,
1,cinquante nuances de grey,james,roman,,
0,le bûcher des vanités,wolfe,roman,,
0,échec au roi,dobbs,roman,,
0,power,greene,pyschologie,,
1,la semaine de 4 heures,ferriss,self-help,,
0,s'organiser pour réussir,allen,self-help,,
0,les 7 habitudes,covey,self-help,,
0,cinquante nuances plus sombres,james,roman,,
0,cinquante nuances plus claires,james,roman,,
0,mistress branican,verne,roman,,
1,beautiful player,lauren,roman,,
1,beautiful stranger,lauren,roman,,
1,beautiful bastard,lauren,roman,,
0,le casse du siècle,lewis,finance,,
0,karoo,tesich,roman,,
0,professeur de désir,roth,roman,,
0,paperboy,dexter,roman,,
0,emotional intelligence,goleman,psychologie,,
0,romanzo criminale,de cataldo,roman,,
0,how to become an alpha male,alexander,"self-help, séduction",,
0,l'intelligence érotique,perel,psychologie,,
0,iliade,homère,roman,,
1,this is me letting you go,priebe,psychologie,,
0,do i have to give up me to be loved by you ?,paul,psychologie,,
0,guide to getting it on,joannides,sexe,,
0,du désir au plaisir sexuel,marx,sexe,,
